provinceName,confirmedCount,curedCount,deadCount,updateTime
上海市,53,3,1,2020-01-27
上海市,66,4,1,2020-01-28
上海市,96,5,1,2020-01-29
上海市,112,5,1,2020-01-30
上海市,135,9,1,2020-01-31
上海市,169,9,1,2020-02-01
上海市,182,10,1,2020-02-02
上海市,203,10,1,2020-02-03
上海市,219,12,1,2020-02-04
上海市,243,15,1,2020-02-05
上海市,257,25,1,2020-02-06
上海市,277,30,1,2020-02-07
上海市,286,41,1,2020-02-08
上海市,293,44,1,2020-02-09
上海市,299,48,1,2020-02-10
上海市,303,52,1,2020-02-11
上海市,311,57,1,2020-02-12
上海市,315,62,1,2020-02-13
上海市,318,90,1,2020-02-14
上海市,326,90,1,2020-02-15
上海市,328,140,1,2020-02-16
上海市,332,161,1,2020-02-17
上海市,333,177,1,2020-02-18
上海市,333,186,2,2020-02-19
上海市,334,200,2,2020-02-20
上海市,334,211,2,2020-02-21
上海市,335,227,3,2020-02-22
上海市,335,249,3,2020-02-23
上海市,335,261,3,2020-02-24
上海市,336,268,3,2020-02-25
上海市,336,272,3,2020-02-26
上海市,337,276,3,2020-02-27
云南省,5,0,0,2020-01-24
云南省,11,0,0,2020-01-25
云南省,16,0,0,2020-01-26
云南省,26,0,0,2020-01-27
云南省,44,0,0,2020-01-28
云南省,55,0,0,2020-01-29
云南省,70,0,0,2020-01-30
云南省,83,1,0,2020-01-31
云南省,93,2,0,2020-02-01
云南省,99,3,0,2020-02-02
云南省,114,5,0,2020-02-03
云南省,119,5,0,2020-02-04
云南省,124,5,0,2020-02-05
云南省,133,7,0,2020-02-06
云南省,136,7,0,2020-02-07
云南省,138,17,0,2020-02-08
云南省,141,18,0,2020-02-09
云南省,149,19,0,2020-02-10
云南省,153,20,0,2020-02-11
云南省,154,26,0,2020-02-12
云南省,156,27,0,2020-02-13
云南省,162,36,0,2020-02-14
云南省,168,42,0,2020-02-15
云南省,171,42,0,2020-02-16
云南省,171,47,0,2020-02-17
云南省,172,57,0,2020-02-18
云南省,173,60,1,2020-02-19
云南省,173,79,1,2020-02-20
云南省,174,96,2,2020-02-21
云南省,174,107,2,2020-02-22
云南省,174,115,2,2020-02-23
云南省,174,128,2,2020-02-24
云南省,174,129,2,2020-02-25
云南省,174,144,2,2020-02-26
内蒙古自治区,2,0,0,2020-01-24
内蒙古自治区,7,0,0,2020-01-25
内蒙古自治区,7,0,0,2020-01-26
内蒙古自治区,11,0,0,2020-01-27
内蒙古自治区,15,0,0,2020-01-28
内蒙古自治区,16,0,0,2020-01-29
内蒙古自治区,18,0,0,2020-01-30
内蒙古自治区,20,1,0,2020-01-31
内蒙古自治区,23,1,0,2020-02-01
内蒙古自治区,27,1,0,2020-02-02
内蒙古自治区,34,1,0,2020-02-03
内蒙古自治区,35,1,0,2020-02-04
内蒙古自治区,42,3,0,2020-02-05
内蒙古自治区,46,4,0,2020-02-06
内蒙古自治区,50,5,0,2020-02-07
内蒙古自治区,52,5,0,2020-02-08
内蒙古自治区,54,5,0,2020-02-09
内蒙古自治区,58,5,0,2020-02-10
内蒙古自治区,60,6,0,2020-02-12
内蒙古自治区,61,6,0,2020-02-13
内蒙古自治区,65,6,0,2020-02-14
内蒙古自治区,68,7,0,2020-02-15
内蒙古自治区,70,8,0,2020-02-16
内蒙古自治区,72,8,0,2020-02-17
内蒙古自治区,73,8,0,2020-02-18
内蒙古自治区,75,9,0,2020-02-19
内蒙古自治区,75,16,0,2020-02-20
内蒙古自治区,75,17,0,2020-02-21
内蒙古自治区,75,23,0,2020-02-22
内蒙古自治区,75,27,0,2020-02-23
内蒙古自治区,75,34,0,2020-02-24
内蒙古自治区,75,38,0,2020-02-26
北京市,36,1,0,2020-01-24
北京市,41,3,0,2020-01-25
北京市,68,2,0,2020-01-26
北京市,80,2,1,2020-01-27
北京市,91,4,1,2020-01-28
北京市,91,4,1,2020-01-29
北京市,114,4,1,2020-01-30
北京市,139,5,1,2020-01-31
北京市,168,9,1,2020-02-01
北京市,191,9,1,2020-02-02
北京市,212,9,1,2020-02-03
北京市,228,23,1,2020-02-04
北京市,253,24,1,2020-02-05
北京市,274,31,1,2020-02-06
北京市,297,33,1,2020-02-07
北京市,315,34,2,2020-02-08
北京市,326,37,2,2020-02-09
北京市,337,44,2,2020-02-10
北京市,342,48,3,2020-02-11
北京市,352,56,3,2020-02-12
北京市,366,69,3,2020-02-13
北京市,372,80,3,2020-02-14
北京市,375,98,4,2020-02-15
北京市,380,108,4,2020-02-16
北京市,381,114,4,2020-02-17
北京市,387,122,4,2020-02-18
北京市,393,147,4,2020-02-19
北京市,395,153,4,2020-02-20
北京市,396,169,4,2020-02-21
北京市,399,178,4,2020-02-22
北京市,399,189,4,2020-02-23
北京市,399,198,4,2020-02-24
北京市,400,215,4,2020-02-25
北京市,400,235,4,2020-02-26
北京市,410,248,5,2020-02-27
吉林省,3,0,0,2020-01-24
吉林省,4,0,0,2020-01-25
吉林省,6,0,0,2020-01-27
吉林省,8,0,0,2020-01-28
吉林省,9,0,0,2020-01-29
吉林省,14,1,0,2020-01-30
吉林省,14,1,0,2020-01-31
吉林省,17,1,0,2020-02-01
吉林省,23,7,0,2020-02-02
吉林省,31,1,0,2020-02-03
吉林省,42,1,0,2020-02-04
吉林省,54,3,0,2020-02-05
吉林省,59,4,0,2020-02-06
吉林省,65,4,1,2020-02-07
吉林省,69,4,1,2020-02-08
吉林省,78,5,1,2020-02-09
吉林省,80,13,1,2020-02-10
吉林省,81,18,1,2020-02-11
吉林省,83,22,1,2020-02-12
吉林省,84,24,1,2020-02-13
吉林省,86,25,1,2020-02-14
吉林省,88,26,1,2020-02-15
吉林省,89,30,1,2020-02-16
吉林省,89,34,1,2020-02-17
吉林省,89,36,1,2020-02-18
吉林省,90,37,1,2020-02-19
吉林省,91,43,1,2020-02-20
吉林省,91,45,1,2020-02-21
吉林省,91,52,1,2020-02-22
吉林省,91,54,1,2020-02-23
吉林省,93,60,1,2020-02-24
吉林省,93,63,1,2020-02-25
吉林省,93,65,1,2020-02-26
四川省,8,0,0,2020-01-24
四川省,28,0,0,2020-01-25
四川省,44,1,0,2020-01-26
四川省,69,0,0,2020-01-27
四川省,90,0,0,2020-01-28
四川省,108,1,1,2020-01-29
四川省,142,1,1,2020-01-30
四川省,177,1,1,2020-01-31
四川省,207,3,1,2020-02-01
四川省,231,4,1,2020-02-02
四川省,254,14,1,2020-02-03
四川省,282,14,1,2020-02-04
四川省,301,24,1,2020-02-05
四川省,321,31,1,2020-02-06
四川省,344,42,1,2020-02-07
四川省,364,60,1,2020-02-08
四川省,386,71,1,2020-02-09
四川省,405,80,1,2020-02-10
四川省,417,85,1,2020-02-11
四川省,436,92,1,2020-02-12
四川省,451,97,1,2020-02-13
四川省,463,114,1,2020-02-14
四川省,470,119,1,2020-02-15
四川省,481,131,3,2020-02-16
四川省,495,156,3,2020-02-17
四川省,508,169,3,2020-02-18
四川省,514,188,3,2020-02-19
